"","ac","af_l","af_r","ar_l","ar_r","atr_l","atr_r","cbd_l","cbd_r","cbp_l","cbp_r","cbt_l","cbt_r","cst_l","cst_r","fa_l","fa_r","fma","fmi","fx_l","fx_r","ifo_l","ifo_r","ilf_l","ilf_r","mcp","mdlf_l","mdlf_r","or_l","or_r","slf1_l","slf1_r","slf2_l","slf2_r","slf3_l","slf3_r","str_l","str_r","uf_l","uf_r","vof_l","vof_r"
"361_L_AV",0.113661937384141,0.00562548951177229,0.000801898576732965,0.0170213412802014,0.00672210592148253,0.104399085956575,0.0128650049305179,0.0173050673642191,0.00212810682372857,0.00394621694202813,0.000871206791609865,0.0473706794908057,0.00238748281916798,0.00849991727580341,0.0054864475966879,0.00124425154548806,0.00041801168636076,0.0215824694464669,0.00715439812831525,0.565261053652918,0.0369058211278442,0.0405952831431958,0.00473249966371201,0.0112316467607596,0.000796193628335338,0.00493639001907221,0.0130152092911643,0.00249362482043124,0.0422501751702015,0.00752563666188359,0.00391353362665668,0.00183893789163958,0.00126846178930892,0.000702216848736808,0.000912438429567111,0.000347152622408319,0.0155156106793031,0.00320518696349083,0.0390465159349836,0.00203711858951582,0.00264181183600454,0.000496702795150555
"362_L_CeM",0.130852213793889,0.00943134826340537,0.00110271727203868,0.0348585186800032,0.0106625839647753,0.195805209864239,0.0226464759643461,0.0125295139120458,0.00238411093204128,0.00174465104695488,0.000803668317321759,0.0159093116261672,0.00200050864421867,0.0219039462338372,0.00856134760818946,0.00414586385577798,0.00104377850681553,0.0168443685483398,0.0138971870611455,0.164526628102795,0.0204220398518446,0.0677088885236273,0.00690004784754883,0.0105072350284556,0.000889319039624357,0.0142642116466289,0.0250431001527858,0.00412063065373042,0.0627115019034409,0.0104776888384608,0.0133219105850147,0.0045206277459999,0.00440319084501765,0.00130277035172056,0.00176467906840402,0.000642857219413899,0.0718210393727187,0.00914570083345615,0.049896411599468,0.00276272579628476,0.00517996483726431,0.000678629804850784
"363_L_CL",0.0793617292660861,0.00412723230355372,0.000143832588993031,0.0106614864205599,0.00219478867940142,0.13729979096206,0.00536602768449831,0.0167363598179695,0.00212702064892451,0.0016997820130876,0.00036646731482974,0.0584440921432538,0.000544358411564379,0.00881784093102135,0.00192080637564576,0.000686258406606685,9.75746036224356e-05,0.0158361944747915,0.0113890620617115,0.649533747985826,0.0105887010384895,0.0376157926693627,0.00240129970129499,0.00836743135053934,0.000101642105590151,0.00532338404483099,0.00940004671538851,0.000871995873984113,0.0368181279996567,0.0020231342524567,0.00315814740474892,0.00102646004294813,0.000524133966662376,0.000279226870745492,0.000454951091943678,0.000168459049272281,0.0182035091756282,0.00115145794223574,0.0376022485747847,0.000576918222315261,0.00180907044295034,0.00010121427659575
"364_L_CM",0.0280653199846401,0.0139964252428597,0.00138153302951672,0.0392683502632414,0.00637267269782612,0.165091352490909,0.00963657225243707,0.0168613654249142,0.00427484429137647,0.00273355202987187,0.00155267684724053,0.00480460619144233,0.000719608799278789,0.107104433416826,0.00705126211078421,0.0251203434687359,0.00265778237430613,0.0117271888105118,0.0220322461225443,0.0341308843629843,0.00394275821993433,0.0604975217861471,0.00606638858297027,0.00533556620144136,0.000602880073552346,0.0192870882523735,0.0252270439106509,0.00359128764647867,0.0508124341825949,0.00652803761105924,0.0661618812531826,0.00646863839785002,0.0227429021364513,0.00186702226165062,0.00554196505824514,0.00112387182091202,0.186080945107345,0.00753571627209761,0.0272319499748738,0.00160958010470903,0.00467559490483165,0.000533156646071048
"365_L_LD",0.0980783111625263,0.00483095775621328,0.000312706607389638,0.0128693321403708,0.00343238529186001,0.0491696596400451,0.00252574289641951,0.0218947849491957,0.00260859597724431,0.0069982042145406,0.00110797793656413,0.0691367348989778,0.000377110252559905,0.0055144209469101,0.00218584531207252,0.000775300217758755,0.000272089019740011,0.0165039976366515,0.00526374492921985,0.74227781539773,0.0117525705431871,0.0308632628614556,0.00225050165852354,0.0131312555568347,0.000381126066188414,0.00229898612968773,0.00759691893616305,0.00118341726890841,0.0339593104554257,0.00295699038978127,0.00197790422372477,0.000847646479985944,0.000920226031089205,0.000300372723404595,0.000629240553798295,0.000166742241706338,0.0133690503587238,0.000545225002745359,0.0394490133524431,0.00149573002870599,0.00139124337901842,0.000156060124284133
"366_L_LGN",0.0335481070172032,0.0209885976727763,0.000785394672186184,0.173921114930064,0.00941307625160632,0.0295105014113495,0.00316291116135713,0.0156452122915512,0.00198926163390711,0.00198238038820455,0.000704211353701499,0.0382144565464931,0.00144237533734494,0.0332508686956364,0.00409595868946212,0.00544432333348201,0.000703107778594976,0.0251845578483463,0.00565606501516844,0.0869574668728811,0.00511482241181961,0.108445867818539,0.00488636153771166,0.0271846212324378,0.000765563520802912,0.00359224091362355,0.044261174012424,0.0032846502643105,0.249749652128395,0.00968721038760522,0.0104776490961326,0.00239092649269822,0.00395254085634648,0.000766418986215924,0.00228637118311121,0.000422358267978213,0.0298798134503121,0.00252748901687199,0.0370154638581683,0.00120336605634865,0.0105972936921098,0.000590009587303947
"367_L_LP",0.0780685304645979,0.00843875331558882,0.000547013660405008,0.0188185469601395,0.00238125033526811,0.12203386438661,0.00408684393618943,0.0229995859122317,0.00248645681085899,0.00540929215385953,0.00107821359369837,0.0342645927821675,0.000728349388303191,0.00745584633179966,0.00220203739444324,0.00293036403981333,0.000502982387543118,0.0131168218497668,0.0143263544297234,0.567656623942439,0.00456658953815255,0.0593747630685857,0.00322965006409341,0.0156626650215032,0.00046033401046594,0.00250926336681454,0.0159282927416421,0.00163021390369905,0.0604093679189743,0.00309247892064852,0.0057097193717151,0.00193041741641824,0.00176989066030793,0.000541074045921266,0.00132661354503899,0.000432134610101863,0.0300834538990736,0.00156603614192656,0.0501318936981031,0.00141754452194927,0.00284358693662126,0.000290704685892984
"368_L_L-Sg",0.0342975926424164,0.0146952842426602,0.00146153524810598,0.121874736437234,0.0169928528339711,0.0829800916230285,0.0100778601921676,0.0121838254511644,0.00214801171018471,0.00117920461390934,0.000718752710951154,0.0344253457632562,0.0021276113665605,0.0199915346159773,0.00529963757005285,0.00817639266384013,0.00136418029812397,0.0220208474219318,0.0103737490026943,0.0538976537057295,0.00521758892156256,0.0920786871403938,0.00697291224266667,0.0193071962919514,0.000734837637977097,0.00437001017331085,0.043033852193314,0.00595362723672787,0.2437103938878,0.0141212937642025,0.011344887510361,0.00418056314396126,0.00350198935011635,0.00109981770830921,0.00186782982386356,0.000853811722245459,0.0644614990494308,0.010351756336237,0.0307345645680092,0.00153341765820384,0.0112599931432248,0.000592681905648648
"369_L_MDl",0.0813017926541998,0.00798337450945653,0.000953797815008468,0.0221037764728513,0.00437716850157636,0.334716561882428,0.014061755226203,0.0290108769271416,0.00480316362243055,0.00574074320247017,0.00250570495274722,0.00998408044302558,0.00106385950729608,0.00898665037157276,0.00336443297837373,0.014202218436231,0.00156278808590571,0.0121706210181252,0.0415212174633992,0.0921269736825082,0.0087585171165416,0.104795059849063,0.00718203150674976,0.00874121611107817,0.000711031976928366,0.00359538605789036,0.0188163333557922,0.0025578811658839,0.0461348925474562,0.00527664986433956,0.0102786503445333,0.00283487174383942,0.00217068717777234,0.000842568913485335,0.00175841088474247,0.000990004876866488,0.0397953959404791,0.00426955923457663,0.0646353389559481,0.00246634772222357,0.00391498561962059,0.000458101478330622
"370_L_MDm",0.108746520691285,0.00709726780875608,0.00168344741185528,0.0244530038257203,0.0118660739660534,0.213921249143857,0.0481597548341997,0.0177159272744469,0.00523253713202384,0.00394212209630955,0.0022183747237267,0.0144262979947642,0.00434757195442464,0.0113419458661159,0.00875427562477742,0.00406778181559173,0.00138426098064107,0.0168908592876825,0.0237812947016806,0.174340700156646,0.0546803128229653,0.0714230337554318,0.0143316486533914,0.00823504686417274,0.00220285262930498,0.00674600032520479,0.0194470263325191,0.00601110747682896,0.0479514206224975,0.0156680957682129,0.00749191011903417,0.00451165899724082,0.00217212103003039,0.0013448958418501,0.00128890245864808,0.000882060033784121,0.030651900067282,0.0100778968698479,0.0481197061657747,0.00698605262506378,0.00416031584361506,0.00109178326822641
