"","ac","af_l","af_r","ar_l","ar_r","atr_l","atr_r","cbd_l","cbd_r","cbp_l","cbp_r","cbt_l","cbt_r","cst_l","cst_r","fa_l","fa_r","fma","fmi","fx_l","fx_r","ifo_l","ifo_r","ilf_l","ilf_r","mcp","mdlf_l","mdlf_r","or_l","or_r","slf1_l","slf1_r","slf2_l","slf2_r","slf3_l","slf3_r","str_l","str_r","uf_l","uf_r","vof_l","vof_r"
"361_L_AV",0.0699249330478813,0.00384568930531817,0.000609231015342835,0.0108968794289755,0.0046745608252515,0.058671461676189,0.0104700018892521,0.026323259887917,0.00363012724077264,0.00737833187367573,0.00200815823775736,0.0427569285778122,0.00254686600047797,0.005405383797875,0.00375881444390863,0.000940970561596461,0.000395158956153705,0.0142117602124837,0.00536445391702779,0.0914959369189295,0.0425275272024793,0.0218613779415913,0.00377950282355266,0.0086226656674508,0.000858668626255363,0.00304032701731638,0.00712311716206591,0.00164644002121529,0.0242229064997701,0.00495968319693242,0.00244117311692969,0.00104801662637421,0.000737405658276774,0.0005695827407142,0.00103015506707444,0.000276379911753625,0.0157184404652032,0.0020087409741644,0.0617697054317766,0.00269497721319448,0.00136297380018087,0.000449103396105853
"362_L_CeM",0.0479978371243414,0.00583879434912098,0.00075655670479289,0.0142360453634002,0.00703893334415954,0.0545004123971495,0.0150070394278054,0.00912139548237894,0.00119425673503101,0.001182310883533,0.0013036701554863,0.011339891437691,0.00216653576982565,0.00778049087079223,0.00466132815969492,0.00270946986626887,0.000937754984266537,0.00544961847648138,0.0055446192861657,0.0611300113367321,0.0222829571110578,0.0190216107141678,0.00296163234558185,0.00561068293904547,0.000638757296491291,0.00877860262955343,0.00926146156662239,0.00233905338794291,0.0196443715433063,0.0062708305026518,0.00684708257294458,0.00256296323446867,0.00308995310255011,0.00102410214788663,0.00133188151353544,0.000606855125421832,0.0261071216279618,0.00515065068274347,0.0400701019441285,0.00232996820092613,0.00211994980243494,0.000560663840269822
"363_L_CL",0.0608181648145762,0.00436239776189769,0.000274881012109985,0.00864021441558586,0.00341039648811804,0.106788562950729,0.00612096541012261,0.0418991557264149,0.00676791708627073,0.00271572725347694,0.000776765836291065,0.0657295941199703,0.00227482054912191,0.0113885642244863,0.00244173211033674,0.000986124435560929,0.000201404895809813,0.0146236375631448,0.0153786965162269,0.13464973365254,0.0216316135207852,0.0301825971688527,0.00344655257511568,0.0072046471993528,0.000330867566298492,0.00970236809705572,0.00805100911759645,0.00157595722373203,0.0279468328685628,0.00326411769930565,0.00478412972201729,0.00233089335108424,0.000899639524191363,0.000718345637234712,0.00102852424997939,0.000405333648363958,0.0185722905664263,0.00192250647878249,0.0603586805098977,0.000910675554929564,0.00193833595850798,0.000298135255776748
"364_L_CM",0.0119083121906991,0.00745389166562878,0.000791263934370439,0.0140227551665039,0.00404027021044597,0.0266072736010977,0.00434007706560577,0.00898777187592325,0.00150771716850324,0.00195104364013479,0.00144558839142312,0.00217552160147061,0.000351018724279705,0.0233279601080312,0.00279174490316448,0.00728301279020468,0.00121385543660024,0.00403235364803079,0.00482842502406854,0.0183742749752704,0.00168884807993035,0.0121324598693337,0.00204907857940038,0.00307505489127797,0.000354944017857669,0.00911750138476104,0.00854750050010959,0.00229282955779956,0.0169661400097871,0.00429424917737736,0.0181303672658837,0.00304414804835332,0.0125724726342936,0.000776359153984025,0.00279086946257691,0.000552491755426916,0.0351022019027028,0.00363978452932644,0.010414266439062,0.00069740647603373,0.00212277870091242,0.0004603178616094
"365_L_LD",0.0862262431659913,0.00438304295893746,0.000479664166805877,0.0161804290145969,0.0049459487837161,0.0485424817108209,0.00234213785008801,0.0389728236043394,0.00683405070004923,0.00907918343869915,0.00256556596764934,0.0791034143701229,0.000554927307004504,0.0077580264797765,0.00242492058018602,0.00107389584670011,0.000594062013861969,0.0166711344916831,0.00596914290830069,0.0866139981763224,0.0159981886370824,0.0227177388653469,0.00276548637602758,0.0144111896024366,0.000759355348112471,0.0030474799286247,0.00552224731972939,0.00179562487425718,0.0297193443973146,0.00366174616209354,0.00237567539108676,0.00125501364619944,0.000906403609449791,0.000421553731713483,0.000723388499040879,0.000436469417002078,0.023048173852474,0.000504461069129302,0.0755668261044137,0.00286077354359579,0.00142646832993283,0.000298941133669075
"366_L_LGN",0.0184985515150253,0.0122711124693255,0.000503050392426423,0.0556098691795501,0.00835609416074031,0.0134348679106663,0.00150995547444013,0.0148133726000144,0.00120110100182962,0.00132760244443057,0.000532183002391063,0.0224660442014319,0.00143173157012331,0.0113096719973643,0.00186953929325552,0.00247234463273593,0.000299969742782272,0.00796725708652198,0.00192865830631311,0.0374485475967444,0.00697830392888672,0.0207589162252619,0.00238710961358415,0.00882647949045121,0.00054629673983063,0.00248441614251861,0.0120510369406185,0.00220108939710411,0.0429727510974188,0.00720363363980715,0.00516619911467596,0.00094637050971517,0.00255238833643161,0.000632581251537443,0.00139336528036747,0.000307965065089481,0.0271064973276038,0.00160816777068378,0.0134066781678962,0.000528997382980307,0.00404869022698417,0.000417289559483364
"367_L_LP",0.049530441754381,0.00719826792009954,0.000615569962787327,0.0129194102195551,0.00157188013328571,0.0626279778387661,0.00387163061999842,0.0338515278937586,0.00237909006245076,0.00551393178383711,0.00087465616312629,0.0250039650024755,0.000741009449529435,0.00491816905058758,0.00198079525144507,0.00236458157173071,0.000395043147070576,0.00592886662985943,0.00914639772954293,0.09415656691562,0.00314611541610177,0.0291889558750629,0.00235175112217096,0.0086970543896826,0.000517031224757233,0.00148595907541438,0.00718011220225504,0.00150743961427711,0.0291282936094731,0.00263786663434307,0.003020361975579,0.00162138803318239,0.00106800446794613,0.000359516627898382,0.00122270355973196,0.000323329830987829,0.0403500254694898,0.00242602833870629,0.0631555973128069,0.00178701521943594,0.00164964140529228,0.000261022697516733
"368_L_L-Sg",0.0219013191439385,0.00919097260221988,0.00210821854038021,0.0732099153953456,0.0205370947668573,0.0449788935940976,0.00672135862375243,0.0111528652205685,0.00211655034598626,0.00128272462760463,0.0012689482002357,0.0245454539500184,0.00376999921153864,0.0113951990850209,0.00558630126488273,0.00902238467169858,0.0020938256425497,0.0096052552204957,0.00628772324524878,0.0289466046101368,0.00873799353940225,0.028505944925774,0.00559326002619735,0.0152334415779595,0.00106338141748763,0.00375366147989346,0.0142113613552512,0.00758492193802998,0.0742528235930383,0.0144248100711775,0.0111531242613498,0.00581661624327411,0.00443483062453721,0.00165142703513978,0.0023521646526795,0.00156356997017445,0.0423580462400014,0.0103938465932651,0.0157397554062886,0.00168425480100025,0.00528446784043947,0.000839744300336087
"369_L_MDl",0.031281266541403,0.00405342318870802,0.000716569072195754,0.0141950168190593,0.00341753278763216,0.0494366616993371,0.00674796805522487,0.0177443195176649,0.00273747286552312,0.00471387926096342,0.00258289007683673,0.00559575606952549,0.000931145990968432,0.00367433662984343,0.00238107887841707,0.0110326675349739,0.000847311360507014,0.00318030350685978,0.00874817132620202,0.0340785869038308,0.00995080581629689,0.0181396093581428,0.00326906099865412,0.00499381869089113,0.00061776717738171,0.00218441689975107,0.00684581056927726,0.0019822691883778,0.0148555614052736,0.00366606268682309,0.0062492765478322,0.00193779140629025,0.00102340125374075,0.000461242385320401,0.00147001573623869,0.000762122613952372,0.0188720544279475,0.00324699011095474,0.022962911619518,0.00146033793659539,0.00152762174532806,0.000415167873652898
"370_L_MDm",0.0384157925230062,0.00326285603734169,0.00103589075850214,0.0127532664743521,0.00663859007401699,0.0619409355162577,0.023566464053971,0.0115770321508474,0.00338489240644256,0.00337242370395691,0.00229265944928797,0.00835752143110561,0.00249703382027689,0.0040453359869014,0.00396433728227578,0.00300604335801952,0.000734868783042044,0.00585811446797076,0.00609003274098897,0.0618816255658279,0.0420786548577676,0.0182777601833865,0.00717527850931299,0.00407813624742485,0.00187860616891487,0.00310613481908528,0.00803485651659978,0.00293884461065395,0.0179506229671363,0.00695399928811542,0.0035327269906963,0.00218053733889778,0.000982843391768206,0.000895451562613975,0.000671715115500346,0.000576155355118578,0.0106805292047119,0.00520019276661021,0.0297977017385099,0.00569255153917941,0.00190060322309968,0.000649972524359268
