"","ac","af_l","af_r","ar_l","ar_r","atr_l","atr_r","cbd_l","cbd_r","cbp_l","cbp_r","cbt_l","cbt_r","cst_l","cst_r","fa_l","fa_r","fma","fmi","fx_l","fx_r","ifo_l","ifo_r","ilf_l","ilf_r","mcp","mdlf_l","mdlf_r","or_l","or_r","slf1_l","slf1_r","slf2_l","slf2_r","slf3_l","slf3_r","str_l","str_r","uf_l","uf_r","vof_l","vof_r"
"300",0.0102260642397611,0.00255633892235527,0.000846038416110575,0.00713856457020333,0.00499852378996937,0.102212297605482,0.048563685677423,0.0956925422932976,0.0281844741969158,0.088065775688671,0.0274441768483586,0.00470713752330799,0.00150764899056186,0.0106099478315011,0.00797400950448823,0.0417335619173565,0.025886713844728,0.0123491879206755,0.212955469230975,0.024440020601668,0.0138872486345398,0.0478793936668303,0.0249739486574364,0.00327775053529469,0.00108302931924582,0.00162071440348677,0.0034208613026038,0.00185701483445211,0.00866885600210754,0.00493383006861107,0.0218933216095615,0.00527530633861284,0.041678040939059,0.00894839923946656,0.00584239082616584,0.00778765196147017,0.0124790242517314,0.0101170975752106,0.0100611069119249,0.00421692128229915,0.00234189615758805,0.00149863852102102
"301",0.0213633131280712,0.00144949010194915,0.000589409422830805,0.00849008902064513,0.00333335227012341,0.118039655418879,0.0186246650595761,0.0446202637647976,0.0114262994958648,0.0929250833750424,0.0209257322925601,0.00476241600432415,0.00148586620276882,0.0105057191216258,0.00517201216498661,0.0164119584059031,0.00673290418982888,0.0094833233395198,0.232254484879323,0.0284290681984243,0.0131420341852196,0.183580681022018,0.0208712314042526,0.00655618213483896,0.000957317892976318,0.00133672854479067,0.00779541642978526,0.00138276067810508,0.0133974178908604,0.00414512324557131,0.00315081074732895,0.00125104705906464,0.0151290731510071,0.00409158068605012,0.00620133523369581,0.00265684813601191,0.00798199218320911,0.00489718475343557,0.03906656601866,0.00346066322398258,0.0041627061986178,0.0011850548299032
"303",0.0255480469545184,0.00234454162883396,0.00148979223917888,0.0103316370404893,0.00865501290273232,0.0470348145232665,0.0344968314802898,0.0229561431846308,0.0145379359746067,0.176066254228389,0.130931770498784,0.00382779544109805,0.0032171502268343,0.0146390293965964,0.0117238979608568,0.0108625552812813,0.00917182274681908,0.0129734103060802,0.0727436936096296,0.0285070585471361,0.0229899275027633,0.0830505304191077,0.0478738480072461,0.00517921680761058,0.00246946931541844,0.00213888547285151,0.00587025659028881,0.0040881796236885,0.0114794947721063,0.00638931863423504,0.00250447035870095,0.00232482574774996,0.0134918127518961,0.00688003310012851,0.00579676288845958,0.00444433070075931,0.00808986395255208,0.0077329701615758,0.0493526806296143,0.0371192048702867,0.00291448683275151,0.00241368745985425
"305",0.0139025584920635,0.0045732707906746,0.000169256319742063,0.0112646987103175,0.000930829042857143,0.0499549465277778,0.00305607948412698,0.0120641679186508,0.00202570640515873,0.0272762418253968,0.00484899767460318,0.00889413005555556,0.000530355671230159,0.0034695004328373,0.000942589479761905,0.0067930900218254,0.00115473364880952,0.00906096930357143,0.0341473911805556,0.0181834478571429,0.00268755612787698,0.380194784722222,0.00421142570436508,0.0309085944345238,0.000338383277281746,0.000904087156746032,0.0616369232936508,0.000453482264880952,0.0303451717490079,0.00110168803412698,0.000611040168253968,0.000454789900793651,0.00281660531547619,0.000513168472222222,0.00792092265873016,0.0003853203125,0.00130146884206349,0.000643717930555556,0.25039060218254,0.00106245995833333,0.0143401864384921,0.000485212150496032
"306",0.0284331049333156,0.00310593852292598,0.00114801872669727,0.0146111129777147,0.00588936999837315,0.0636269494344545,0.0248399749773236,0.0214957338494129,0.0117805491336557,0.215997665311607,0.0710067732526111,0.00493020828162247,0.00234383346356433,0.0204925023027147,0.00852006935780558,0.0140191444158467,0.0070765360684973,0.0133698222216712,0.0773213456965051,0.0323165434957426,0.0171017838572023,0.120338845131109,0.0321913450866603,0.00721797765554202,0.0017821522857105,0.00230213842100561,0.010183799823673,0.0030069563498669,0.0154143452384928,0.00480188767779196,0.00279333991954458,0.00176930674183355,0.0150186895746717,0.00524339276013825,0.007434027892835,0.00333052959915363,0.0108016524009028,0.00602319322076726,0.0692579238562387,0.0200186431116134,0.00446723713106934,0.0018554464189834
"308",0.0190639110489978,0.00476679497960502,0.000353570348171791,0.0151955933563799,0.00159757556995325,0.00884997968849298,0.00208903477191512,0.0119232044460541,0.00206213606967123,0.0065822037983899,0.00187126450566636,0.331087570007606,0.00134068013142242,0.00738743988544789,0.00172440144158043,0.00453388894012174,0.00100058855832023,0.0141710782957421,0.00497934126129238,0.0783520920757617,0.00580282979011663,0.0844859510887818,0.00442023787568048,0.197370550800607,0.00146292500169761,0.0165282371312224,0.0315088669556524,0.000854514027452897,0.024574777021645,0.0016491020539639,0.000688617364007671,0.000313710009107215,0.00431756112910474,0.000965264210940721,0.0118410851762983,0.000619644158518612,0.00321897699091497,0.00105631170928471,0.0864246744604813,0.0012076156830186,0.0163084446405422,0.000655316775786847
"309",0.0050519519458022,0.00447222383354185,0.00106317231473178,0.00616429771187986,0.00497421388464757,0.0195343871341304,0.0186438421317684,0.297014342504668,0.109063344958058,0.0763047462037738,0.0320002886912701,0.00724247658435418,0.00179132909334101,0.017042231624526,0.019184742718174,0.0299843894798346,0.0284564767484295,0.0134249385656815,0.0491734262267296,0.0184186018756531,0.0124533987264143,0.0158651517375917,0.0128548704606528,0.00205053039143046,0.000879753853596336,0.00239171572600093,0.00300163276762147,0.0017344279124504,0.00525455005766953,0.00327970458984616,0.0315740276130935,0.0290908787049304,0.029251512765551,0.0119566024542819,0.00595427934320849,0.00453037653583709,0.0254115583895399,0.0357340282619766,0.00403611323203807,0.00361872328501024,0.00141367648901945,0.00113792008987668
"312",0.0171127073205175,0.00190596459631611,0.00110884510784188,0.0083387934157592,0.0065900011321503,0.0396879292554125,0.0261977005220151,0.0490325321833739,0.0234742393740445,0.241235761238352,0.153595316493844,0.00321835677894389,0.00216565360378364,0.0110268794147063,0.00843790909738276,0.00875317337837293,0.00736311998755537,0.0115794087868724,0.0966621430843673,0.0233455330482976,0.0176312421142613,0.0696965991822773,0.0382196026134582,0.00423178502167269,0.00170988287684109,0.00193883000276374,0.00427946974450313,0.0026820522157223,0.00882675959832107,0.00527938405327238,0.00209461915358544,0.00266675972933587,0.0121056456873366,0.00533971130347872,0.00445394238755811,0.00335395427765786,0.00610525339203917,0.00582797790110008,0.0356207789169924,0.0239543548259164,0.0024725198579417,0.0019979939683546
"313",0.00620037117356921,0.0447056964068829,0.000911824656448506,0.0802548349274993,0.0040507993939994,0.00872941526328336,0.00323814481093052,0.0138285792060851,0.00680219639993584,0.00326531373437019,0.00137616539658029,0.00803260826237154,0.00100134800074771,0.0144638660160924,0.00460994792540892,0.0261020145588761,0.00524034104817695,0.056634091628371,0.00954736183455112,0.0259932786932533,0.00751237052617742,0.0710966628253063,0.00731684769109959,0.0400517646515749,0.000912717367590362,0.00202293443506888,0.319907899732287,0.00280027016992443,0.0456571399351297,0.00415992512316976,0.00154138094151394,0.000953055646045838,0.0205921248143752,0.00465154325237536,0.039440680081084,0.00279751720223313,0.00722327691818238,0.00354133941201533,0.0398816921524329,0.00126230325599423,0.0617926171600725,0.00205684808818026
"314",0.00600612731522555,0.00998163849028782,0.00607847895346388,0.0153148828747836,0.0212472036184307,0.011579423482695,0.00589206212713627,0.325940033356706,0.0834234124408833,0.0359762906847132,0.0111770304198035,0.0206983798623701,0.00333144118917174,0.0127505955642656,0.0152239710959501,0.00624874144539509,0.00478273116252338,0.108451156512595,0.0229986933010468,0.0591649813973923,0.0338353341480069,0.024173321114506,0.0191252637166051,0.00682092164914763,0.00215737996009561,0.00532549145909239,0.00943354602065802,0.008785306914844,0.0172389205938421,0.00800027167441424,0.0107280698849645,0.00969513438671007,0.0127152616037342,0.00927491136307984,0.00470453875581363,0.00574655810005488,0.00740207457676931,0.00592371535456137,0.00547204183622041,0.00398057490136013,0.00512613399207682,0.00468486114518477
"315",0.00612876744015464,0.00785246287430641,0.00218146783080648,0.0196875498094595,0.0159615243753276,0.0143986186104276,0.00590426418087388,0.303434547969463,0.0466159067152442,0.0315308763139635,0.00925385145484577,0.00572832550184028,0.00328414670984832,0.0149112865641526,0.00896345897017502,0.0108004377884342,0.00544799432577423,0.191644044948418,0.0226512095039489,0.0271251268901349,0.0187585727151696,0.0321422538013822,0.0228498992193896,0.00902155339248146,0.0024155864543171,0.022464853816363,0.0085731474673729,0.00586840108246838,0.0274125326769284,0.0188564490170401,0.00619835404633632,0.00347289175887266,0.0133179209859557,0.00428660247408627,0.00507572547104076,0.00279929783478932,0.0070850739104074,0.00445672077417,0.00505426365524987,0.00301421327637678,0.0104411589702858,0.0097412411902085
"316",0.0173230823931111,0.00206365421515048,0.000378999592100826,0.0115657688566467,0.00208738805393323,0.117226301799856,0.00829088696423868,0.0265365214434473,0.00489968058736802,0.0517420376199484,0.0110168839426583,0.00754855769019757,0.000694425496051352,0.00923885466507295,0.00241895804221118,0.0204262889733391,0.00279523029012411,0.008486639446861,0.0952576726689441,0.0239655894614882,0.0050818946141644,0.333313670636353,0.00931150545135441,0.0158663341584788,0.00047336368281669,0.00140102533794407,0.0222324675325411,0.000856250593453773,0.0238305961854127,0.00178370888040621,0.00135056763663642,0.00096971220155019,0.010130227184453,0.0016553901555879,0.0125307768360806,0.00103262605210596,0.00424856560093748,0.00181063438920599,0.121417659048292,0.00223717055036906,0.00859365098933253,0.000663200848525827
"317",0.0368904744495599,0.00417730019007266,0.00075853680812018,0.0171503235988277,0.00549126151656697,0.00843038468075759,0.0038218887289518,0.0143175836870947,0.00450952986382522,0.00465797042875758,0.00199787258804741,0.306686442188316,0.0040110215364953,0.00824246574170127,0.00391460080063898,0.00291922381403276,0.00190828063432677,0.0416755711311129,0.005335107072835,0.128022676466368,0.0143768604162183,0.0959141520301261,0.0140113479603358,0.109593164913384,0.00476654240287513,0.00548354571379625,0.0147703012344114,0.00238315464869172,0.0495211395873596,0.00713723848433155,0.00077254450823415,0.00066179050191463,0.00463248141396518,0.00208874544147031,0.00344562564081579,0.00133301234434782,0.00379222854986947,0.00224817595794089,0.026135889120544,0.0026038401304697,0.0230594786098563,0.00264043927647272
"318",0.00737314512460482,0.0393520635469945,0.00179397810310394,0.033341518367824,0.00721928271725375,0.00609594056020787,0.00255399568345892,0.0175340366661545,0.00857286828231389,0.00310366764508215,0.00173692724904474,0.00872801372019036,0.00195467327601537,0.00939688505373165,0.00452018359444265,0.00374086715199711,0.00183127029602751,0.149669235603528,0.00539167041955211,0.0381127394647749,0.0136143350542938,0.100603320893594,0.0129431165167333,0.101821330508076,0.00168342468087008,0.00310533216086583,0.0647063030988049,0.004985635922826,0.0986276933689114,0.00965472070302897,0.00285953056556558,0.00104157950331242,0.0138422835696112,0.00297336931893347,0.0180920929484569,0.00231684090123756,0.00453428763695605,0.00197526702460465,0.0158888930869003,0.00189899341129007,0.175694119816867,0.00600746863112191
"321",0.00558903775928969,0.0114388050578394,0.00497159853742089,0.0168489173025392,0.0243632583668448,0.0203839710258439,0.00845097737443915,0.332252869489829,0.0639372503675931,0.0293078848786266,0.00937462570174972,0.00241123299988308,0.00276992063443326,0.0235884214388954,0.0252705375110624,0.0277386807831937,0.0117729776803113,0.0728963941403878,0.0265418602985422,0.0273188799569286,0.026726718022578,0.0203083859836226,0.0198270975411383,0.00401258027443537,0.00217538631052804,0.00595330107480346,0.0107033911953368,0.00870485378760639,0.00900985448246595,0.00842545331176518,0.0244970470045274,0.0081129167219215,0.0342495665742242,0.0129902131806182,0.00654216171239173,0.00917265699945364,0.0173789833120795,0.00948910189598563,0.00472773986113422,0.00388616573825458,0.00482579559582992,0.00442203840768279
"322",0.00897720454579196,0.0389160472083954,0.00207148097888106,0.116342670002306,0.00801008433409447,0.012353935273171,0.00409546061303678,0.0215793117730973,0.00945617557144868,0.00561212027134793,0.00222042796218563,0.00596108889632029,0.00100094832167791,0.0822971383078047,0.00901402576205039,0.0440058797731918,0.00449520355088213,0.0295800981749414,0.0115349521058581,0.0266015370009445,0.0135125700819862,0.0951144970353594,0.0077411655499735,0.0143919244878653,0.000733796695297281,0.0019793414339659,0.134441970554604,0.00362406473312151,0.018640984818234,0.00298815831782181,0.00669683974605857,0.00171296619124706,0.0660709517161989,0.00773973176291012,0.110623906565671,0.00514305402921445,0.0184082734445289,0.0046235649371128,0.0470068877975491,0.00163083535761712,0.0130840985114364,0.001454125614646
"323",0.00501048327445684,0.0428948878519159,0.00345676797026588,0.128573001339121,0.0195226142933803,0.00778004178076102,0.00404691953890684,0.0349072194317765,0.0165872220378234,0.00385108924333847,0.0025245435620026,0.00248177591423041,0.0012428978993956,0.0459927405735256,0.018349306164638,0.0201518198514823,0.00598903692643786,0.053683252958564,0.00793946128381052,0.0327699725547539,0.0195698661892428,0.0418626473511825,0.0125884270650757,0.0136054790329118,0.00103425875340301,0.00204889626578193,0.203613164119744,0.00729693214051693,0.0189290200529391,0.00481251420584084,0.0046308070102125,0.0031748601034711,0.0504895612281756,0.0144126138045465,0.0953182917693423,0.00984420885823792,0.0141507212160241,0.00755049719277889,0.0141123680650802,0.00240487728969118,0.0190943085207054,0.00277107552487186
"325",0.0042555662359651,0.00545237335372004,0.00420088201749331,0.0128288210403268,0.0161264688831276,0.0106358888843697,0.00652091295585006,0.386967742940652,0.119006950066762,0.0393200617680117,0.0156627614312694,0.011094911840293,0.00297192009057362,0.0140556869303299,0.0144928440130733,0.00774293228192279,0.00551945467832115,0.0568994733317538,0.0240742118064999,0.0347996802926021,0.0278227215184916,0.0185102166741564,0.0139866526559291,0.0047396956322735,0.00141295823992339,0.00966790373945491,0.0052602990848705,0.00486413145102417,0.011574476918446,0.00608817071320227,0.0191699025220779,0.0139216627207814,0.0158701054193073,0.00978513127521053,0.00421930662227071,0.00506258082136945,0.00927151632932817,0.00821460122135216,0.00428113691183978,0.00320637473982323,0.00356231350730587,0.0026643645308594
"326",0.0201489588984615,0.00627591956533333,0.000909182568061538,0.0232857711958974,0.00408029815076923,0.0190348054871795,0.00377490330605128,0.0252963510231795,0.00606870433825641,0.0145301042707692,0.00422250090734359,0.224736072307692,0.00155339695550769,0.0132964188434667,0.00386592192092308,0.00471016285210256,0.0015308117545641,0.0354939271682051,0.0111360303466667,0.100426195306667,0.0120755311766154,0.139398857046154,0.00819580084738462,0.0650828675076923,0.00105133958094359,0.0106734960456821,0.0310869169025641,0.00184428991778462,0.0414352614818462,0.00507827533033846,0.00122632027690256,0.00092651989148718,0.00511500245507692,0.00245693628810256,0.00811285267569231,0.00133357317113846,0.00483369113692308,0.00285105538229744,0.130996961107692,0.0020493620211282,0.0117141025771897,0.00165382592184615
"327",0.0215867255228523,0.00184955630573235,0.000935172559003096,0.00974318297475311,0.00522935456713891,0.123210119954596,0.0317686500197472,0.0459281072233999,0.0120062583134469,0.110976229190096,0.0462474967329462,0.00333210555565408,0.00197070255203455,0.011316175541677,0.00596651134824517,0.0152486140239067,0.00991942592718163,0.0119833073096664,0.167879093590763,0.0259863576397848,0.0165941472879053,0.155818728086822,0.0388573536063325,0.00622395981986578,0.00119735855121057,0.00174755704328768,0.00671581494164468,0.00191518324582106,0.0151276564639678,0.00590911492671496,0.00282806245753774,0.0016096702353948,0.0139107364160468,0.00513549099473753,0.00536137327266586,0.00303966823076175,0.00800535051883748,0.00532583576329755,0.0316631342404844,0.00907976078065631,0.0040838035051145,0.00188003719936514
"328",0.00704221924853101,0.126917755048463,0.00724223877077713,0.045010029546765,0.018693675518493,0.00896430764683935,0.00468455909441408,0.0742879914175053,0.016286741978818,0.00457141208538725,0.00280584819570417,0.00259578965590053,0.00186842715638698,0.0418891128682727,0.0136034075512345,0.00863665493225208,0.00455211920603456,0.114826838297885,0.00893735912672371,0.032910093349622,0.0249831044951462,0.0372663846001128,0.0171532093032909,0.0100110533030347,0.00144969158574579,0.0040480962381199,0.0394665805568679,0.00910469191959504,0.0197883133932875,0.00744833231394076,0.0231355800187686,0.00311345797042905,0.113861615603824,0.0112471218655174,0.0625526630481959,0.00887997693822072,0.0157961511523151,0.00518855206259818,0.00906204444322717,0.00365586048464947,0.0375110168707477,0.00439450703266373
"329",0.00774359951133341,0.11842969241533,0.00876090512282669,0.0423354466245903,0.0243644211476206,0.00894993313890283,0.00531576376341589,0.068732018052374,0.0188624137062782,0.00474918039190452,0.00315591221317003,0.0026399915061094,0.00234003982733057,0.0437573040509267,0.0165566874608861,0.00867471803816766,0.00523159863191043,0.109784710519927,0.00916660442144076,0.0377318509786635,0.0315311159519805,0.0338412339123099,0.0215800894978684,0.00887350974244351,0.00181424895904283,0.00395237791097839,0.0326944839453082,0.0127834708499661,0.0169199002142879,0.00901561975964419,0.0242498752310786,0.00340832425797659,0.107895953240701,0.0136599307103756,0.0616071778704405,0.0110286747592372,0.0173426657806613,0.00587952386430543,0.00834734475834543,0.004604980215612,0.0345992770595704,0.00509637737288445
"330",0.00463291904909862,0.00463727291369178,0.000979914871471608,0.0074694453974522,0.00318079403559775,0.0627702860058964,0.0140415334606221,0.0321497681474255,0.0222728239891317,0.0168932655935846,0.00558153597162006,0.00121535809754873,0.000759260115900426,0.043308544082987,0.00951518842720646,0.284390503662975,0.0396790773658951,0.00757999186956166,0.0501403300142064,0.0102152733669765,0.00730293295297445,0.0255257460240719,0.00863834529810616,0.00186959221123042,0.000519591978484374,0.00180446758439141,0.0047748825111931,0.00143310140661671,0.0048278722905635,0.00229805517859584,0.0436809658927043,0.00510240352852944,0.13901095325941,0.0121672232922902,0.0236496622400296,0.00790262324477598,0.0680438737990969,0.0143567011613338,0.00489204047431364,0.0019709709922508,0.00204771263302055,0.000846636558613475
"332",0.0148775880525208,0.00986589815237751,0.00120028586714519,0.0340657060897405,0.00550045216879599,0.00882171159115353,0.00299880011196441,0.0163362201624095,0.00701156690348034,0.00359567647868225,0.00192063174585407,0.0112215849027564,0.00249935888041099,0.0120411133652558,0.00389327292658528,0.0042767581711844,0.00178788865462316,0.144837364977813,0.00700922871903996,0.0517030841323498,0.0138766441303922,0.171480994830362,0.0137884436401161,0.0606421802736905,0.00185387949783981,0.00450433421621251,0.032398768257674,0.00334843594539437,0.189280250565075,0.0105405318399124,0.00237171787413024,0.000866110653541201,0.00650338878217576,0.00228623115104683,0.00790724660828716,0.00169516892554799,0.00496153390648836,0.00191692149558105,0.0202136520606381,0.00193708735244193,0.0981896106919562,0.00526380019411664
"333",0.0110007418142988,0.0176188223476094,0.00117054333773998,0.064803584726572,0.00573513724392394,0.0182874871324389,0.00516423083722416,0.0213930662447977,0.00932995697026366,0.00588110731026965,0.00250512158156371,0.00481722428803177,0.000907971409733574,0.0544055438904407,0.0102199478426568,0.139553045631101,0.00835008589922951,0.024337637345592,0.0154149530484855,0.0243780682934224,0.0102404614643459,0.12432517723671,0.00727442401972782,0.0174821193130181,0.000661629318537304,0.00225428516113075,0.0892199905608719,0.00235856577520196,0.0336273801394987,0.00249288170484981,0.00383883059372093,0.00220858775469874,0.0531542531855431,0.0090718601319159,0.116222486284884,0.00549929682082843,0.0295343520934698,0.00784036383035664,0.0417627790358685,0.00162362790870034,0.0160426077688336,0.0012565884400754
