"","ac","af_l","af_r","ar_l","ar_r","atr_l","atr_r","cbd_l","cbd_r","cbp_l","cbp_r","cbt_l","cbt_r","cst_l","cst_r","fa_l","fa_r","fma","fmi","fx_l","fx_r","ifo_l","ifo_r","ilf_l","ilf_r","mcp","mdlf_l","mdlf_r","or_l","or_r","slf1_l","slf1_r","slf2_l","slf2_r","slf3_l","slf3_r","str_l","str_r","uf_l","uf_r","vof_l","vof_r"
"300",0.00905602463974601,0.00264736500076157,0.000390890752057915,0.00488381568190818,0.00307676451485383,0.0371207220909385,0.0178759657442571,0.0620105446301705,0.00721316623415053,0.0788507767478958,0.0183183627410953,0.00478864240897664,0.000837788535900496,0.00468166373554884,0.00391260452605735,0.0208388406007394,0.0109616543950139,0.00566419472218895,0.133315087944217,0.0205946199342564,0.00999772494254589,0.0196767593752273,0.011362590753416,0.00204432123716215,0.000627578174709566,0.00102462861026575,0.00163943049233321,0.000923338589833152,0.00394176790751177,0.00329628856943666,0.0162564887327718,0.00260191406982102,0.02174673068592,0.00583036984971413,0.00163799938974501,0.00764656562432547,0.00286023348927636,0.00443161602147779,0.00688467052637392,0.00189595099379703,0.000615655175892912,0.000702359581271744
"301",0.0224325894721831,0.000827835925373158,0.000344706064531777,0.00665150228598668,0.00195789659463871,0.0359678207145549,0.00851293701414467,0.0291361721371021,0.00491578071493865,0.0460654560382656,0.0144654669469917,0.0046955351881,0.000976003456238168,0.00605113205813851,0.00360962044795577,0.0067250132643132,0.00311801150023599,0.00444867698030348,0.0552353899399233,0.0226656510089393,0.00968079554074102,0.0366750829295155,0.0112248599933494,0.00322674294636703,0.00080000479034574,0.000638805208534925,0.00837506756809653,0.000831203714929835,0.00566605208047119,0.00144750370883571,0.00199189003284858,0.000787296287395869,0.00918608113615566,0.00244368385379077,0.00166000455421035,0.00140523921051379,0.00308112839996731,0.0029217203723952,0.022896238577656,0.00144933592191945,0.00293800899809598,0.000323633797221521
"303",0.00955010149478943,0.00132295324966161,0.000937010774168913,0.00840497207242249,0.00597076966306489,0.0159611224480124,0.0158198616562898,0.019186376257698,0.00885033520861195,0.0916553955297015,0.0622004605699414,0.00328187267020412,0.00212989017624279,0.00929076389162903,0.00939117964604481,0.00739176865734476,0.00657969720776869,0.00596119943190827,0.0185480312560051,0.0174791434700806,0.0106115371238814,0.0309313615535096,0.0163578716370672,0.00331433472946798,0.00161354727778539,0.00103966177609418,0.00363183992371087,0.00308006532419607,0.00536264466935652,0.0022073791315473,0.00215800186812444,0.00248713355826772,0.0143211416367059,0.00454859753238489,0.00243187517887648,0.00250203943538184,0.00304327677781705,0.00586866253732425,0.0380057587381901,0.0336021365017109,0.00187033063058274,0.00107944695749174
"305",0.0125290198323045,0.00811871035613177,8.6050493228571e-05,0.00345428869342379,0.000326928567487607,0.0214182662086895,0.00159504125945671,0.0107419420987611,0.00150726958638303,0.0193937951558698,0.00305641010318077,0.00853362709500778,0.000653155904885448,0.00275895401012848,0.000488135498676021,0.0057700269305998,0.00106298799388148,0.00371998703717036,0.0151678252118857,0.00788992072587582,0.00183067450653823,0.0587314388109966,0.00221341047968556,0.0165674251385243,0.000251915488425153,0.000818006581468093,0.0377663981803384,0.000259757144549344,0.0216539097709509,0.000560916917964886,0.000767614599112521,0.000823037406039143,0.00151048827405862,0.000225967582075793,0.00673304203232423,6.93708735067981e-05,0.000614132428207594,0.000423931083320341,0.105767469739762,0.000549551977333283,0.00962623593775306,0.000265029433366491
"306",0.0107805056619114,0.00148981738689493,0.000571866973284931,0.00859135968957768,0.00257622189462164,0.0120670786165072,0.0147600923574706,0.010908647854658,0.00571224409489255,0.101150963899085,0.0427789636356635,0.00332283091826981,0.00141802795732463,0.0104302374990405,0.00520202886916865,0.00729354294586654,0.00482859549148802,0.00514511151368224,0.0206196389832121,0.0163719946013949,0.00762744672613408,0.0465118656988984,0.0129076916570959,0.00400559570726376,0.00116977014352968,0.00118098238306226,0.0049442006231032,0.00216152314165815,0.00571236453776655,0.00154934283388743,0.00168173472338365,0.00173127020152437,0.0107587867659889,0.00288756214239855,0.00207009056222912,0.00160626621659212,0.00356540696072256,0.0037618775550928,0.0508581243002861,0.017281468266395,0.00247152170864413,0.000635625466628478
"308",0.00950176239888575,0.00444452408722491,0.000232399273303535,0.00941153117181339,0.000366306568571906,0.00545860439784215,0.0010904640625814,0.0144064248378178,0.00123790434027498,0.00508905619255451,0.000791929888781989,0.0765927944180823,0.000864140057203819,0.00463049471178877,0.000658991825342441,0.00446300104888208,0.000752810511527794,0.00451534807181807,0.0024461438083619,0.0514662927478833,0.0026498050217701,0.0484134431383185,0.00177034425346553,0.143425297474637,0.00106237501283177,0.0250194535297766,0.0245109093600569,0.000556888391136348,0.00751160357827625,0.000612508559313513,0.000636220129495497,0.000322539940506646,0.00313738860694096,0.000489880660959255,0.0107010503427187,0.000246823094497178,0.00167663298760339,0.000642114406665495,0.0535445940594554,0.000706589161388241,0.00426360051681007,0.000261373013162279
"309",0.00270290019833924,0.00544680838923287,0.000754467126063336,0.00307819425673555,0.00247677253339162,0.0134715350522923,0.010143786125355,0.0774874512529164,0.0196929107033132,0.0510822429632299,0.0237346187320372,0.00966479771539093,0.00103149305198761,0.00836485491867959,0.0115461446950526,0.0183929882215222,0.0161190577436154,0.0050845821858826,0.0194665257074984,0.00963544849556901,0.00808755751832551,0.0088518370783366,0.00449857343599875,0.00110680592548667,0.000528199421574833,0.00121816351308547,0.00175377507649102,0.00102399614584387,0.00251781759609032,0.00163753715879413,0.0179932954234269,0.0170556639825563,0.0187615903761823,0.00790668506383563,0.000472614126603618,0.00201484416621987,0.0144486947401507,0.0413890941607828,0.00300735002975077,0.00195863013893508,0.00070006294464834,0.000286951102312318
"312",0.00658487379115851,0.0012305402284837,0.000782442638292748,0.0083091266411591,0.00548339534751822,0.0122920892763939,0.00833832810566028,0.0228385671124468,0.0124554518036938,0.0733841179662919,0.0439048344415821,0.00217398788699305,0.000872428534846507,0.00846014324160822,0.00600045327604667,0.00513666399276664,0.0054744047565957,0.0065015845162707,0.0195242961862921,0.0155891392300735,0.00795204418123363,0.0233370474486589,0.0105756192897409,0.00322348990978168,0.000853033810029363,0.000952525998214731,0.0026560252257253,0.00145646043503849,0.00478098777096401,0.00180534735602968,0.00128109048880085,0.00339428003274728,0.0144214043523215,0.00371683219737126,0.00203493938211705,0.00198443630720663,0.00245577434310711,0.00344179013377712,0.0229582707360636,0.0189282482709519,0.00169735593891152,0.000894111191020294
"313",0.00300171588644474,0.0312411150410968,0.000376578773440836,0.0261198599605293,0.00185043541721425,0.00729800248138271,0.00309593262797657,0.00539083911718905,0.00326486294918165,0.00229779274852056,0.000963841352103034,0.0046700843531055,0.000541631108872335,0.006332700490095,0.00307255929152607,0.0279908636523104,0.00699885218085362,0.0273757873879012,0.0142294046451753,0.0127695054014189,0.00366827760420182,0.0287909267124834,0.0032987355061523,0.0105880406938409,0.000551119400854692,0.00168263010820937,0.1093859265713,0.00155384534851349,0.0172053643363039,0.00287535034256504,0.000796592697673201,0.000522548979728346,0.013268766255632,0.0054430794268909,0.0166882665395233,0.00272925046911509,0.00405150416138467,0.00424554188527677,0.0228646605261636,0.000607694625463264,0.0138384767411066,0.00093979896985221
"314",0.00241185531113779,0.00900146325949364,0.00354774730026193,0.00984480907163012,0.0182138802345547,0.00734182116514662,0.00183110828948163,0.0800061910970222,0.0261478332737538,0.0406116712293158,0.0110829506916342,0.0237985303490752,0.00258527908806857,0.0062560053159164,0.0078808788324316,0.00349776825039445,0.00243265239788334,0.0310788620215871,0.0198533184254804,0.0276048725818051,0.0208610365742631,0.00698787511791641,0.00885535870807845,0.00213870192220893,0.00198518087696667,0.00312356864193696,0.00838023942941606,0.00590469745235821,0.00508754131277974,0.00592505501947193,0.00678004832219437,0.00605545207380944,0.00678421376525879,0.00273730376988419,0.00228004588073944,0.00239921782639148,0.00279223382450376,0.00253410307711434,0.00347624073851467,0.00195590382034894,0.00244634082090292,0.00272327507810064
"315",0.00206923014588399,0.00609531534697304,0.000583806293671235,0.00940754830866805,0.018257194575818,0.010489483156566,0.00157488461007401,0.0475590170809388,0.0137560101773553,0.0272272002442089,0.00769022157749877,0.00305277876912629,0.00181819328613757,0.00616096655801732,0.00401469731204209,0.00870233744350584,0.00386238992664451,0.0314223379029646,0.0163764430561392,0.00905294824891766,0.00699323326661024,0.009868557759843,0.0119494705649284,0.00452422226711286,0.00175558140065299,0.0165924086027397,0.00504621971764158,0.00265857432940895,0.0139889660579984,0.0182819689633869,0.00731197175937908,0.00279753104010385,0.00913467565804069,0.00186481074898306,0.00217272181506267,0.000826433405716562,0.00345634395418323,0.00219541933222034,0.00166233652940654,0.0015612699277954,0.0052464905426885,0.00491382401947157
