"","ac","af_l","af_r","ar_l","ar_r","atr_l","atr_r","cbd_l","cbd_r","cbp_l","cbp_r","cbt_l","cbt_r","cst_l","cst_r","fa_l","fa_r","fma","fmi","fx_l","fx_r","ifo_l","ifo_r","ilf_l","ilf_r","mcp","mdlf_l","mdlf_r","or_l","or_r","slf1_l","slf1_r","slf2_l","slf2_r","slf3_l","slf3_r","str_l","str_r","uf_l","uf_r","vof_l","vof_r"
"0001_LEFT_pu",0.0660972902714508,0.00918658691981252,0.00240059571110574,0.0484259269820683,0.00801931562287317,0.0816746914053126,0.00836458735575954,0.0269569282423514,0.00958547965296439,0.0267397835171974,0.00640752590025062,0.00963363428353608,0.00273459638668567,0.0746585671071938,0.0101956502019187,0.0340592062949371,0.00532306553030211,0.0261581905116335,0.0262116451096107,0.0752521319628715,0.0224250104711871,0.149996877567236,0.0167889548461274,0.0136816339623219,0.00188059125149016,0.00512525380342663,0.0278909454726836,0.00360842380514308,0.032442808945512,0.00501400408183521,0.00616220598669816,0.00187142187709746,0.0333001522085856,0.00690920272482609,0.0195412142109805,0.00498367832668593,0.0379116015570234,0.00586366239005335,0.0434991641478486,0.00416754839640976,0.0100373535766503,0.00210963131312851
"0002_LEFT_cd",0.0385292585076094,0.0100636054434735,0.00133824075971443,0.0293437152897436,0.00557821746231481,0.132444603944992,0.00882205300893086,0.0305694638840272,0.00901912177962991,0.0587765070125018,0.00944149227388743,0.0132134718176619,0.00187733121898232,0.0631132656413953,0.00769523804945046,0.0428491410436903,0.00716607914625207,0.0216799619690019,0.0456368002834458,0.098204799081667,0.0183813401837156,0.0994000211372788,0.0118922105967619,0.0112833558204745,0.00120914876887012,0.00638276859271103,0.0166125980370695,0.00239975951578159,0.0260444824728297,0.00348838707129207,0.00429756512790818,0.00187869961103468,0.043639805609634,0.00579693517944833,0.0174291959861349,0.00356043747723287,0.04468488435686,0.00588043415187824,0.0313752796387267,0.00339296531703623,0.00607129497716209,0.00133802762380022
"0003_LEFT_nan",0.0832452968750524,0.00592504806822056,0.00124388655332951,0.0309123089829263,0.00661462356755192,0.0657794522449419,0.00953360008443119,0.0251460112928659,0.00785756426132932,0.10129281414752,0.0183128621667134,0.0161481349381957,0.00255786770979895,0.0394748255944741,0.00815792623181769,0.0258600718881637,0.00523383616954096,0.0246240735097451,0.0349816643468079,0.11243460287011,0.0235096661249968,0.127231307770253,0.0181624430415691,0.0155562704015457,0.00202761825289608,0.00466255937708419,0.0184631527227291,0.00280829222333819,0.0306378225625857,0.00504679878597916,0.0031220350521976,0.00151737589331523,0.0236054881604884,0.00440611708713414,0.0136967984783975,0.00293776655800733,0.0209165156893066,0.00543268735904239,0.0513840803123524,0.00567711365751251,0.00805147169751061,0.00189685580546295
"0004_LEFT_GPe",0.102741433224193,0.00933550224715292,0.00231283443828043,0.051708787084525,0.00822135854133475,0.0862455909876692,0.00972819222211701,0.0265626626232323,0.00912300527764889,0.0218118351581356,0.00597487172787473,0.0115256903937186,0.00465526011128392,0.0688988019698785,0.0090287307252632,0.0286822640902385,0.00540939210979538,0.0279716788639996,0.0270644938723783,0.073251320400072,0.0256409449186538,0.130935262492014,0.0191945689931742,0.0151831659115573,0.00446185345450184,0.00558185316061211,0.0250680490006483,0.00379645732927404,0.0309270381861241,0.00576937381871874,0.00597048914760504,0.00178210030636008,0.0301134037791928,0.00553788168683242,0.0205432309170244,0.00406137443348875,0.0308003901943971,0.00509962343851783,0.0355658471940445,0.00492700935312869,0.0102438094132201,0.00232905607607224
"0005_LEFT_GPi",0.0743874860288738,0.00995703033159056,0.00214890443235612,0.0779203484927032,0.0111626952256257,0.0559644246638352,0.00792192299321571,0.0245713645666141,0.00882255767088404,0.0111987498316965,0.00389378345985477,0.0142387245100379,0.00310347829775181,0.140961644075816,0.0122212156380439,0.0150068905969148,0.00385833041230512,0.0401061562848553,0.0137937494408979,0.0959664947989856,0.0255772474809061,0.0974617841522919,0.0140694836934069,0.0197979866137882,0.00209900647022725,0.0217118962247604,0.0261499287069853,0.00429032968983574,0.0500777372076388,0.0065082192970073,0.00504833763216622,0.00153602640016363,0.0209249915376394,0.00471016954989281,0.0147398092688215,0.0033246203285815,0.027101650992908,0.00550278666568061,0.0197488830643539,0.00332036954808914,0.0139861716579972,0.00240436552008831
"0006_LEFT_SNpr",0.0288668239113487,0.00401404748685764,0.00111485485623931,0.0581973827729539,0.0113614577752666,0.0767820937794179,0.00828440172563828,0.0174749607891664,0.00851893452872316,0.0103760133996314,0.00344427955477265,0.00927684985157772,0.00231225794208237,0.241004579481601,0.0209805101480854,0.0248352282408888,0.00652821611569594,0.020943647150519,0.0161024574392105,0.0512120246437284,0.0173995531786115,0.064057974469792,0.0118136754844156,0.0100073521446912,0.00140314739171508,0.127425215908494,0.010474282634897,0.00249958216596064,0.0273249368138511,0.00680392410772328,0.00532830167643059,0.00177409700888414,0.0181029658137242,0.00365447915388389,0.00852497104536332,0.00246653740890667,0.0330470708716571,0.00637747967745115,0.0144270266262032,0.00261540355885741,0.00693838802981002,0.00220899699536123
"0007_LEFT_SNpc",0.0373046038951967,0.0041372446149319,0.00151033274313109,0.0648504204166745,0.0198515761044232,0.0467911733515077,0.0100481705156545,0.0153332321363051,0.00895721056550223,0.0127546902365445,0.00461050386349439,0.0150978837395922,0.00351488802409323,0.192551811411896,0.031771528614431,0.0120043467454392,0.00428238926519201,0.0290414510078979,0.0132337352950689,0.0748186063633318,0.0269580849049795,0.0673082277099167,0.0167590592521305,0.0129273651907078,0.00200266639774158,0.120498547277276,0.0113524608075036,0.00317149545187369,0.0343141930236299,0.0115082499433337,0.00411109494645837,0.00171497451491072,0.0143940586400274,0.00421469529968167,0.00640537243443451,0.00299992230779832,0.0262028070178878,0.00811938316478977,0.0173367923985051,0.00370221960103024,0.00905648981520298,0.00352416018682318
"0008_LEFT_SNpl",0.0318445547585362,0.00496365423060225,0.00141213727607113,0.115643367043945,0.0132988047441085,0.0395518396522383,0.00736569122476981,0.0163868797833901,0.00774763106601036,0.0078430450460212,0.00313539310811988,0.0131025469395316,0.00244709045402571,0.252863489888631,0.0208366829326052,0.0141212572316813,0.00405781147045349,0.0273302607677713,0.0112968105154991,0.0695087656557447,0.0211598025144897,0.0606014914177965,0.0123825857664384,0.0116062054687976,0.0015412296016641,0.0853384623096193,0.0125557473985812,0.00323086215453377,0.0346470568536438,0.00803703070969121,0.00463459257069997,0.00164327134136578,0.015350658344322,0.00371286843020694,0.00766460505853867,0.00248929401942169,0.0251149159232696,0.00621857161203574,0.0133542423463202,0.00281481846326431,0.00828109192914881,0.00244784903899711
"0009_LEFT_STN",0.0341357010157424,0.00622800698814276,0.00143080734267696,0.106950965278698,0.0126312974640107,0.0426734120389646,0.00696358549995875,0.0172323724045908,0.00759863745982256,0.00804206206765935,0.00304547481780888,0.0145204220576731,0.00235363032173246,0.229758343340102,0.0137023895490899,0.0187954622396235,0.00494304802509261,0.0306292655883407,0.0114077067662227,0.0917062002916532,0.0201682701112114,0.0768335987507314,0.0126720416146325,0.0165739036621847,0.00152739898175992,0.036476541731162,0.0173180431719474,0.00309013855736135,0.042237750029423,0.00749032404769655,0.0066213730186408,0.00155509122863559,0.020192788831506,0.00391347884767443,0.00997246677348933,0.00281158214311155,0.0375003001590053,0.00558725421484069,0.0171275146133727,0.00289768098428277,0.0101172333752686,0.00235929324399926
"0010_LEFT_VP",0.0960096410481722,0.0057444494723041,0.00112964403320884,0.0374951803382775,0.00710263342337181,0.0430729952306754,0.00788633814885923,0.0201394937540348,0.00672695796961144,0.0792180958514312,0.0128181334761729,0.0332442196730892,0.00286884122242613,0.0427614761629508,0.00773030849973733,0.0184688871903853,0.00444461751386979,0.0326459821043062,0.0259815802858542,0.145577232201754,0.0236846684898331,0.12285700256562,0.0140247497933459,0.0295692375906597,0.00215392820171086,0.00754205093902184,0.0194956221581283,0.00285408420116177,0.0395868985297367,0.00553350253551888,0.00279846395467583,0.00119681374898654,0.0186369011479486,0.00365322730384043,0.0102427281286498,0.00240628753062563,0.0184400169832666,0.00459800001323056,0.0467497722112576,0.00408615444081545,0.0111037056294362,0.00192352592767672
