"","ac","af_l","af_r","ar_l","ar_r","atr_l","atr_r","cbd_l","cbd_r","cbp_l","cbp_r","cbt_l","cbt_r","cst_l","cst_r","fa_l","fa_r","fma","fmi","fx_l","fx_r","ifo_l","ifo_r","ilf_l","ilf_r","mcp","mdlf_l","mdlf_r","or_l","or_r","slf1_l","slf1_r","slf2_l","slf2_r","slf3_l","slf3_r","str_l","str_r","uf_l","uf_r","vof_l","vof_r"
"0001_LEFT_pu",0.0158019314455284,0.00419108387782099,0.00180361513905483,0.00850762149373348,0.00272747509995993,0.00590583041028746,0.00260073044635742,0.00840904035737231,0.00363473902551914,0.00986397994506469,0.00301694781213284,0.00143838278238704,0.000905328981363292,0.020057043019853,0.00396343596273274,0.0135469761390414,0.00235772673926986,0.00411501985963088,0.0103150885144428,0.0155239772178414,0.00775303166678593,0.0240773927535264,0.00573826379218852,0.0040950077049695,0.000770898965234955,0.00216498411463809,0.00944213431751521,0.00181439953054414,0.00743702597230269,0.00100929710409839,0.00258506688397896,0.00137928006287781,0.0163909603757237,0.00322565896251637,0.00676432572202461,0.0033485367345268,0.00641477522919185,0.00216316083555455,0.0057499623309353,0.0017074172130633,0.00358650533827781,0.000646445490167784
"0002_LEFT_cd",0.00971187997084434,0.00701311784213448,0.000645910510510128,0.00561933276333352,0.00189176140749229,0.0185660907144568,0.00307328471772119,0.0106157114851172,0.00419036770057465,0.0356301585597134,0.00319745212279314,0.00255910556801811,0.00072531797213748,0.0172800361536604,0.00209728304734556,0.0127715413412864,0.00389848880680414,0.00622798014076,0.00971895519891337,0.0236797818970541,0.0101119341146589,0.0192076205510063,0.00467288411481947,0.00314502845539388,0.000534360564561111,0.00323061667274142,0.00326862374727002,0.00122809823013694,0.00670989361394007,0.000925281467720615,0.00162839064726998,0.00136061635755222,0.028791712228994,0.00327850440366107,0.00471609503152325,0.00212262451638204,0.00918028829234346,0.00225670603256682,0.00880352091431998,0.001382396910666,0.000866395561880071,0.000458886320382427
"0003_LEFT_nan",0.0302657155539365,0.00185503097991988,0.00049905161283126,0.0108802121162205,0.00136004147672524,0.0234659336195853,0.00224725650591576,0.0104300836523701,0.00311699338904206,0.066517174200832,0.00801756617333869,0.00814388443858117,0.000660329028998514,0.0158043914139158,0.00234673085915783,0.0127721458384974,0.00231105599493645,0.0071035962346041,0.0134841163190595,0.0496035029564162,0.00754383456126149,0.0335864596604236,0.00513094678942234,0.00501330063346265,0.00109094313521161,0.00290586402276076,0.00583200781092099,0.00128878478973218,0.0101987893900722,0.00242471893154882,0.00133440841921451,0.00127215101247375,0.0162792845245855,0.00141875812432821,0.00187510963098193,0.000886622504545959,0.010138193770059,0.00257135108226965,0.0179262077563704,0.00255386569153219,0.00185567574218433,0.000608211159055382
"0004_LEFT_GPe",0.0189436418889762,0.00380970133657229,0.00162242513940135,0.00769535227587787,0.00295774669943455,0.0114090847286838,0.00177578683238613,0.00880101967816726,0.00350689649604308,0.005884256151543,0.00232327636344817,0.00241955393527167,0.00279578273742217,0.0184592670429895,0.00203917545220955,0.00858392638922755,0.00242714918081148,0.00790912605295825,0.0124373392239701,0.0141155954458899,0.00634274065619409,0.0301118809517345,0.00739896819577777,0.0024500594028532,0.00215538935173102,0.00224319230995172,0.00860079275220366,0.00151768289846696,0.0130012211277675,0.00217760226744542,0.00212594043373052,0.0013915381167326,0.0166633140284303,0.00184143224269225,0.00398050301010966,0.00189758690074208,0.00435865172078283,0.00183748687516316,0.0100982812476546,0.00200371613741742,0.00383695002808622,0.00067823055951804
"0005_LEFT_GPi",0.0133155934097155,0.00483378786180483,0.00119934463430684,0.0208700908911925,0.00286833580008824,0.0130913149497901,0.00148121164824489,0.00900795810155279,0.00365023568206302,0.0039254575067006,0.00145754618215253,0.004146803230176,0.000531492271628524,0.0595449575754181,0.00315089695381751,0.0058350208078162,0.00123098838714849,0.00896281157164114,0.00552420410816212,0.0137091562684318,0.00471757058706058,0.0337395892755688,0.00398490835353628,0.00353925576680191,0.000659997392530863,0.0126715957786087,0.0117478266748089,0.00192839328299386,0.019846581892168,0.00163467167815778,0.00159137255733496,0.000988345050149624,0.00658588588170581,0.000659823364463265,0.00435460118050634,0.00083062128838207,0.00886938898892993,0.00129889198499354,0.00679948875823564,0.0011566187830312,0.00469002045478628,0.000624451227628419
"0006_LEFT_SNpr",0.0126970170557909,0.00183405031229663,0.000441195005604138,0.025226273910839,0.00356180186886979,0.0366014732147783,0.000919174063959016,0.00664280936342712,0.00350924076614406,0.00528883297136204,0.00113604494818047,0.00294330411741224,0.00082613550512216,0.0511449249689931,0.00718302062355355,0.00940340545213218,0.00335477565568083,0.0074391151363414,0.005986016314081,0.0119388517657879,0.0062890254551325,0.0217720377623003,0.00326769060128996,0.0020519064158898,0.000530314660459709,0.0389148573994577,0.00416450719734989,0.0011956642902091,0.00805451057561488,0.0017961859064286,0.0022580692675709,0.00106664028748996,0.0049124492093235,0.00123456180898257,0.00225324599169005,0.000890769032504731,0.00953171610946563,0.00175031216261294,0.00595480783260849,0.0010820994268445,0.000742269220401055,0.000743826652091371
"0007_LEFT_SNpc",0.0126452576847127,0.0017538058709352,0.000732427976084469,0.0255588251454632,0.0126803697221093,0.0156933026160959,0.00295820793600315,0.00316829555237196,0.004724645184021,0.00957637720946009,0.00151653376390112,0.00717636493415577,0.00176639501078726,0.0633576718915438,0.0110063653780583,0.00366219907012566,0.00188194493231275,0.0114357470580087,0.00251286224231753,0.031264873919642,0.0115983368156627,0.0208280747450684,0.00527828731166205,0.00375218601380661,0.000939194999037828,0.0314916586573609,0.00456578325321807,0.00159447279269413,0.0126290564974982,0.00394611540229481,0.00167324766406136,0.00146406414404961,0.00474570340483353,0.00186364446641374,0.00148823637854349,0.00112438402299932,0.00834244378268741,0.00411770947692882,0.00541781024382497,0.00163380285346982,0.00191806103549007,0.00160277969356954
"0008_LEFT_SNpl",0.0190698125784333,0.00192673728625579,0.000473317220093999,0.0590381954785012,0.00401848249001602,0.0176576735453868,0.00253534694554404,0.00585861146085164,0.00371584611119196,0.00358565386130442,0.000958736513546652,0.00837472167864483,0.000945355669133022,0.0521235586221146,0.00823429292305981,0.00623970535303829,0.00148498831874637,0.0132043968012442,0.00563060875589509,0.0289545703074075,0.00742009025664349,0.0132550106813412,0.00444275737801217,0.002013728508304,0.0007179242457526,0.0324921831191004,0.00501519316987923,0.00160954760740825,0.0147177597977184,0.00302402521138321,0.00226148094956272,0.00140309732546118,0.00393241959197462,0.00119653859877872,0.00258091920882268,0.000616310968600663,0.00943451525822699,0.00290249940318098,0.00442125958060197,0.00144984227269341,0.00264431702277356,0.000666161561755209
"0009_LEFT_STN",0.0157436789316539,0.00354466510967833,0.000908417601340183,0.0475083690315187,0.00471902150476817,0.0160341842533231,0.00232088060901718,0.00665812096759022,0.00358123776280672,0.00380392836197464,0.00126018967890845,0.00390821846245041,0.00143433772992246,0.0395660411563328,0.00478532897898648,0.00827980713833718,0.00212300920311318,0.00998889099053384,0.00532807318241191,0.0129983124026825,0.00765320237681184,0.0144355544615649,0.00478110245158651,0.0025865679484,0.00100867142881868,0.0118014596791745,0.00965762635088766,0.00170097988543494,0.0107879726519736,0.00207218280175344,0.00454355422996361,0.00110349345114319,0.00816525459363234,0.0013363437480269,0.00296572432393645,0.000933889654366422,0.0210115295531311,0.00147133263565842,0.00575237351642907,0.0016933996712277,0.00338145179758229,0.000691758935857231
"0010_LEFT_VP",0.059255211557811,0.00322619328680889,0.000609422409212948,0.0202151061678195,0.00273339572837318,0.0184993734244469,0.00130412583131982,0.00905183961046134,0.00327396766457384,0.0627852976032365,0.00716755974721674,0.0283210568726093,0.00158478378283354,0.0305011605314927,0.00342775099669934,0.0102832364350292,0.00221537370328518,0.0172980144778734,0.00968804507976198,0.050514953804145,0.0112202033408424,0.0262918773245092,0.00531764497502355,0.0164434491650122,0.001338620210943,0.00469943070962771,0.0084412511847026,0.00139913741569445,0.0103260091076752,0.00292868616861419,0.00163504208901221,0.000911234309567412,0.0118099427735914,0.00143642990695474,0.00453656208374809,0.000947504651859162,0.0131940748032721,0.00246397695861999,0.0161515846387834,0.00203999095428025,0.00271243652852461,0.000739746791256246
